"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hacd4",3.8195571944776e-146,-1.92110027367483,0.327,0.79,6.56581881730699e-142
"Calml4",4.76224386332126e-146,-5.16282859486403,0.017,0.416,8.18629720104924e-142
"Glrx",1.72399823130748e-145,2.27986757400981,0.805,0.427,2.96355295961757e-141
"Cst3",1.77639858462734e-145,-0.838375655494913,0.999,1,3.05362916697439e-141
"Ang",2.69767614110451e-145,-3.78873851915576,0.054,0.484,4.63730528655866e-141
"Cd209f",2.44341869974995e-143,-8.488037205612,0.015,0.4,4.20023674487016e-139
"Hmox1",2.73851453973295e-143,-1.7246878225186,0.6,0.934,4.70750649380094e-139
"Rnasel",1.2951869181339e-142,-2.75089954411752,0.134,0.591,2.22642631227217e-138
"Psmb9",9.65278223570474e-142,1.52219599451879,0.905,0.641,1.65931326631764e-137
"Bcl2a1a",2.85044799381945e-141,4.94791218720043,0.506,0.03,4.89992010137563e-137
"Psmb10",6.00613726982564e-141,1.51879933448141,0.916,0.686,1.03245499668303e-136
"Fcgr1",9.27691407543268e-141,1.708704144253,0.905,0.688,1.59470152956688e-136
"Gm2a",1.16849393908523e-140,1.78132210840576,0.873,0.573,2.00864108128752e-136
"Rcn3",2.28757100662974e-140,-6.46769260431067,0.008,0.381,3.93233456039652e-136
"Clec12a",4.82542867293959e-140,2.12053616860216,0.76,0.299,8.29491188878316e-136
"Tcn2",6.74083462946617e-140,-2.59133384013775,0.18,0.634,1.15874947280523e-135
"Fam49b",3.06406719739571e-139,1.42697362667506,0.932,0.734,5.26713151232323e-135
"Aldh2",3.9750101101138e-139,-1.85742118453555,0.359,0.797,6.83304237928563e-135
"Lat2",3.28913077384139e-138,2.52332806156487,0.665,0.184,5.65401580023335e-134
"Rab11fip5",2.99974647560179e-137,-2.66833293154765,0.133,0.588,5.15656419155948e-133
"Cp",1.12993951912291e-136,-5.96204344014673,0.01,0.378,1.94236603337229e-132
"Tmem8",3.42039842329108e-136,-3.45155031306231,0.058,0.476,5.87966488963737e-132
"Lifr",1.42051830202254e-135,-3.41898615172817,0.059,0.476,2.44187096117674e-131
"Ctss",2.87312087891049e-135,0.918726414257139,1,0.996,4.93889479084712e-131
"Enpp1",4.76211934943127e-135,-3.80853988476288,0.039,0.438,8.18608316167235e-131
"Stab1",6.00062566479378e-135,-2.38654366851078,0.225,0.673,1.03150755177805e-130
"Il1rn",9.69865556456904e-135,4.03005729930224,0.579,0.113,1.66719889154942e-130
"Ptma",5.30646791075141e-134,0.835465730165005,0.997,0.986,9.12181833858167e-130
"Tap1",4.96063208817493e-133,1.88859510111912,0.8,0.44,8.5273265595727e-129
"Eif4a1",5.83950359088952e-133,1.15770241260904,0.972,0.852,1.00381066727391e-128
"Grn",5.5137687923404e-132,-0.916719864449857,0.916,0.999,9.47816855403315e-128
"Prdx5",7.16535052309531e-132,1.20944933215057,0.993,0.978,1.23172375492008e-127
"Rps29",1.87975198004718e-131,-0.848295273397057,0.967,0.998,3.2312936537011e-127
"Hfe",2.76752604809132e-131,-2.40317857088901,0.164,0.609,4.75737727666898e-127
"Fcgr4",7.22807785200532e-130,2.05270856751347,0.816,0.472,1.24250658275971e-125
"Ftl1",1.89210547838496e-129,-0.70426085780823,1,1,3.25252931734374e-125
"Cd81",4.55416560702301e-129,-2.11843709088969,0.211,0.671,7.82861067847255e-125
"Plaur",1.09879495958776e-127,3.79337253255726,0.522,0.068,1.88882853553137e-123
"Rgs1",1.73561462390954e-127,2.43809585462467,0.746,0.354,2.98352153850049e-123
"Tgfbi",6.26383016562166e-127,1.63014932311826,0.934,0.825,1.07675240547036e-122
"Arpc1b",8.23525473850415e-127,0.638967858508579,0.999,1,1.41564028954886e-122
"Fgl2",1.57457022825019e-126,2.264609102497,0.746,0.345,2.70668622236207e-122
"Sirpb1c",1.68077874803724e-126,3.21406070547453,0.559,0.1,2.88925866787601e-122
"Gapdh",2.66512810870901e-126,1.27985791660413,0.941,0.791,4.58135521887078e-122
"Itgb2",8.05679907945776e-126,1.70833896421047,0.814,0.506,1.38496376175879e-121
"Ap1b1",1.07128587882168e-125,-2.2357287527949,0.19,0.633,1.84154042569447e-121
"Ptpn18",2.80547174295716e-125,-0.862050899141523,0.916,0.996,4.82260592614335e-121
"Capza2",5.36452824864937e-125,1.11995996708537,0.955,0.824,9.22162405942827e-121
"Mt1",9.65579462344944e-125,-1.29146560534487,0.704,0.965,1.65983109577096e-120
"Mt2",3.11610276214103e-124,-2.62511943473968,0.133,0.56,5.35658064812042e-120
"Cltc",7.21207833451947e-124,-1.37741299408241,0.585,0.888,1.2397562657039e-119
"Phf11b",7.54477046676448e-124,2.80345391347022,0.634,0.195,1.29694604323681e-119
"Bcl2a1d",8.96429244635416e-124,4.94916073231061,0.459,0.029,1.54096187152828e-119
"Hgsnat",1.77234365652388e-123,-2.85946227428089,0.181,0.59,3.04665874556455e-119
"Nrp1",3.10163062604689e-123,-1.39019766880635,0.471,0.875,5.3317030461746e-119
"Klf4",3.27732167517184e-123,-2.02907358513951,0.407,0.792,5.6337159596204e-119
"Fosb",6.31997657065351e-123,-1.84910275511357,0.474,0.817,1.08640397249534e-118
"Cstb",7.04296765885377e-123,1.07192962770198,0.987,0.961,1.21068614055696e-118
"Slc9a9",6.03941034155609e-122,-3.63394010429386,0.046,0.419,1.03817463771349e-117
"Ptpn6",4.66810797764019e-121,1.66539390736465,0.831,0.513,8.02447761356349e-117
"Tpi1",5.9016943136802e-121,1.81836075357031,0.883,0.704,1.01450125252163e-116
"Tpp1",1.32557651069998e-120,-1.91236853114026,0.266,0.693,2.27866602189327e-116
"Actb",9.13901716871064e-120,0.958602576084899,1,0.997,1.57099705130136e-115
"Vim",8.03361876605786e-119,1.07198245666449,0.989,0.969,1.38097906588535e-114
"Pgam1",1.03616688009862e-118,1.4541942572884,0.897,0.721,1.78117086688953e-114
"Psma7",3.16024073938523e-118,0.894936769259745,0.976,0.902,5.43245383100321e-114
"Scn1b",4.15954704541133e-118,-4.2328950000032,0.03,0.379,7.15026137106208e-114
"Cd209g",7.22127300407051e-118,-8.5568449967938,0.007,0.325,1.24133682939972e-113
"Cd38",1.37769294637855e-117,-2.1596637311885,0.176,0.602,2.36825417482472e-113
"Ms4a7",1.0627102289495e-116,-0.987666358574939,0.479,0.94,1.8267988835642e-112
"Smpdl3a",1.58064078820907e-116,-1.49652115525536,0.436,0.823,2.7171215149314e-112
"mt-Nd4",2.12785422248192e-116,-0.89221374764831,0.968,0.994,3.65778140844643e-112
"Ly6a",2.87808070371972e-116,1.52525857183741,0.867,0.539,4.9474207296942e-112
"Ctla2b",4.64331504676538e-116,-3.70949402511658,0.027,0.371,7.98185856538969e-112
"Ap2m1",6.52728828480128e-115,-1.18167527173202,0.732,0.917,1.12204085615734e-110
"Hexa",1.96838789451001e-114,-1.01718210243008,0.854,0.977,3.3836587906627e-110
"Ccl24",3.38809989435504e-114,-1.96968136105144,0.065,0.45,5.82414371839632e-110
"Pomp",4.64838907733072e-114,0.97351724318463,0.964,0.872,7.99058082393151e-110
"Slc15a3",3.37110751019811e-113,2.29052606449258,0.636,0.212,5.79493381003055e-109
"mt-Nd1",3.71011035911171e-113,-0.780449744863606,0.99,0.998,6.37767970731303e-109
"Ctsl",5.81536921166168e-113,-1.23528169458687,0.571,0.917,9.99661967484643e-109
"Magohb",6.8648390720185e-113,3.06979102248175,0.551,0.133,1.18006583647998e-108
"Ldha",2.84024097273313e-112,1.16488183779409,0.972,0.922,4.88237423212826e-108
"Cdkn1a",2.91068535355061e-112,1.56746584557674,0.89,0.631,5.0034681227535e-108
"AW112010",3.11577340606076e-112,2.1400967400812,0.829,0.544,5.35601448501845e-108
"Tmsb4x",5.27165086714462e-112,0.536260774104144,1,1,9.0619678406216e-108
"Btf3",1.07924941135244e-111,0.729703732260274,0.995,0.964,1.85522973811485e-107
"Klrk1",2.69776618874344e-111,5.46588272833852,0.41,0.017,4.63746007844998e-107
"Cnn3",1.35141970062787e-110,4.15820061382807,0.455,0.052,2.32309046537931e-106
"Cxcl10",1.96313972130261e-109,4.65986218911808,0.555,0.148,3.37463718091918e-105
"Hn1",3.03973899747733e-109,1.00153565514425,0.949,0.812,5.22531133666353e-105
"Bax",6.89883935567475e-109,1.18975115823751,0.934,0.831,1.18591048524049e-104
"Nme4",1.03166798388853e-108,-2.726973978849,0.081,0.458,1.77343726430438e-104
"Cfl1",5.97656590668929e-108,0.609012775342563,1,0.99,1.02737167935989e-103
"Vasp",6.24908757979448e-108,1.79293325314306,0.753,0.398,1.07421815496667e-103
"Rnh1",8.66013140371159e-108,1.47819149739062,0.875,0.662,1.48867658829802e-103
"Lrp6",1.3965708263902e-107,-3.19243013267759,0.054,0.407,2.40070525056475e-103
"Slco2b1",1.91797115871706e-106,-7.44801449403236,0.001,0.287,3.29699242183462e-102
"Irf5",2.33103221296536e-106,1.59439485976404,0.802,0.486,4.00704437408745e-102
"Atp5b",2.51139988160197e-106,0.898663503384045,0.97,0.902,4.31709639647379e-102
"Ltb4r1",2.52144441543563e-106,5.71245949318979,0.394,0.016,4.33436295013384e-102
"Irf7",4.71449971084167e-106,1.98035438229681,0.826,0.552,8.10422500293683e-102
"Gbp4",1.0145316794901e-105,3.43313002408574,0.474,0.072,1.74397995704348e-101
"Idh2",2.2544529668139e-105,-1.99806179979796,0.254,0.64,3.87540464995309e-101
"S100a1",8.1972125944794e-105,-1.81744594747392,0.261,0.671,1.40910084499101e-100
"Eps15",1.40004703271816e-104,-2.09900627460634,0.187,0.586,2.40668084924252e-100
"Psma4",1.54368749745314e-104,1.15713610246209,0.907,0.712,2.65359880812195e-100
"Slamf7",1.83598542356864e-104,3.27013067640614,0.495,0.095,3.15605894311449e-100
"Serpina3g",2.35790872617007e-104,3.67786098217517,0.49,0.091,4.05324510028635e-100
"Creg1",2.52766657335602e-104,-1.2944287889846,0.671,0.909,4.34505883959899e-100
"Aldoa",5.03483324919353e-104,1.22011835807625,0.948,0.886,8.65487835536368e-100
"Tkt",5.5390609598836e-104,1.55005051862806,0.803,0.529,9.52164579003992e-100
"Dhrs3",1.76489879563551e-103,-1.99981850714557,0.192,0.594,3.03386102969743e-99
"Arpc5",1.18739173844694e-102,0.870605051160314,0.979,0.883,2.04112639839028e-98
"Id2",1.37700648864099e-102,2.08467512893032,0.734,0.362,2.36707415397387e-98
"Rnf130",1.91753075337804e-102,-1.04209265629149,0.714,0.932,3.29623536505685e-98
"Eno1",2.11967171757207e-102,1.45697194465308,0.83,0.583,3.64371568250639e-98
"Cotl1",4.70591599518358e-101,0.883098382848599,0.97,0.888,8.08946959572058e-97
